City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Thompson,CA,2022-07-21 18:22:42,55.7435,-97.8558,60.96,82,75,14.97
170,Imbituba,BR,2022-07-21 18:22:37,-28.24,-48.6703,77.09,72,39,8.99
171,Port Hawkesbury,CA,2022-07-21 18:22:42,45.6169,-61.3485,86.9,50,0,10.0
172,Havoysund,NO,2022-07-21 18:22:43,70.9963,24.6622,57.43,99,100,7.78
173,Acapulco,MX,2022-07-21 18:18:05,16.8634,-99.8901,87.62,74,75,8.05
174,Broken Hill,AU,2022-07-21 18:22:43,-31.95,141.4333,45.88,87,26,11.23
175,Panama City,PA,2022-07-21 18:22:44,8.9936,-79.5197,80.55,100,40,5.75
176,Carnarvon,AU,2022-07-21 18:22:44,-24.8667,113.6333,64.56,71,50,16.49
177,Keffi,NG,2022-07-21 18:22:44,8.8486,7.8736,74.07,91,73,2.75
178,Dukat,RU,2022-07-21 18:22:45,62.55,155.55,44.37,67,30,5.5
179,Berlevag,NO,2022-07-21 18:22:45,70.8578,29.0864,60.8,93,100,7.2
180,Loa Janan,ID,2022-07-21 18:22:45,-0.583,117.095,73.71,99,80,1.9
181,Erenhot,CN,2022-07-21 18:22:46,43.6475,111.9767,80.47,31,100,17.83
182,Bryant,US,2022-07-21 18:19:43,34.5959,-92.4891,98.62,47,24,3.09
183,Alto Araguaia,BR,2022-07-21 18:23:46,-17.3147,-53.2153,87.49,21,86,7.54
184,Georgetown,MY,2022-07-21 18:23:47,5.4112,100.3354,83.89,86,20,2.3
185,Mana,GF,2022-07-21 18:23:47,5.6592,-53.7767,83.03,75,40,8.1
186,Sekoma,BW,2022-07-21 18:23:48,-24.4,23.8833,62.94,38,51,7.09
187,Huanan,CN,2022-07-21 18:23:48,46.2167,130.5167,63.39,96,9,5.46
188,Kushiro,JP,2022-07-21 18:19:39,42.975,144.3747,59.0,90,87,1.63
189,Salym,RU,2022-07-21 18:23:49,60.0625,71.4789,53.53,75,86,5.17
190,Port Elizabeth,ZA,2022-07-21 18:21:26,-33.918,25.5701,51.1,72,0,1.92
191,Uyemskiy,RU,2022-07-21 18:23:49,64.4743,40.8524,62.65,93,0,6.71
192,Warmbad,NA,2022-07-21 18:23:50,-28.45,18.7333,63.19,32,0,10.98
193,Lata,PT,2022-07-21 18:23:50,40.1629,-8.3327,80.47,40,32,6.42
194,Basco,PH,2022-07-21 18:23:51,20.4487,121.9702,85.41,79,11,12.97
195,Gasa,PS,2022-07-21 18:23:51,31.5,34.4667,79.88,75,5,6.8
196,Ust-Nera,RU,2022-07-21 18:23:52,64.5667,143.2,53.71,82,25,6.26
197,Faya,SA,2022-07-21 18:23:52,18.3851,42.4509,69.91,40,97,7.78
198,Ixtapa,MX,2022-07-21 18:23:52,20.7,-105.2,91.22,66,40,5.01
199,Bonavista,CA,2022-07-21 18:21:30,48.6499,-53.1147,61.32,82,99,7.25
200,Dosso,NE,2022-07-21 18:23:53,13.049,3.1937,86.7,53,92,4.83
201,Udachnyy,RU,2022-07-21 18:23:53,66.4167,112.4,48.45,100,100,1.86
202,Torbay,CA,2022-07-21 18:23:54,47.6666,-52.7314,77.77,58,75,18.41
203,Hluti,SZ,2022-07-21 18:23:55,-27.2167,31.6167,64.17,62,42,0.92
204,Vila Franca Do Campo,PT,2022-07-21 18:23:55,37.7167,-25.4333,72.01,69,31,2.46
205,Saint-Philippe,RE,2022-07-21 18:21:36,-21.3585,55.7679,64.22,76,55,14.72
206,Baiima,SL,2022-07-21 18:23:56,8.1,-11.85,75.92,93,85,4.61
207,Ostersund,SE,2022-07-21 18:23:56,63.1792,14.6357,59.61,88,100,11.5
208,Asau,RO,2022-07-21 18:23:57,46.4333,26.4,74.32,43,0,5.57
209,Vuktyl,RU,2022-07-21 18:23:58,63.8567,57.3094,61.43,57,97,5.7
210,Ovre Ardal,NO,2022-07-21 18:23:58,61.3167,7.8,61.68,49,14,5.32
211,Kresttsy,RU,2022-07-21 18:23:59,58.2452,32.5165,61.41,81,46,4.7
212,Oranjemund,NA,2022-07-21 18:23:59,-28.55,16.4333,56.57,69,1,6.04
213,Itarema,BR,2022-07-21 18:24:00,-2.9248,-39.9167,85.21,60,49,16.73
214,Belmonte,BR,2022-07-21 18:22:44,-15.8631,-38.8828,75.34,76,20,9.44
215,Mount Gambier,AU,2022-07-21 18:21:32,-37.8333,140.7667,47.5,84,59,8.86
216,Vettavalam,IN,2022-07-21 18:24:00,12.1,79.25,80.13,77,88,3.85
217,Katete,UG,2022-07-21 18:24:01,-0.7818,29.7544,72.48,42,50,3.29
218,Aksarka,RU,2022-07-21 18:24:01,66.5606,67.7975,44.76,75,8,3.04
219,Vila Velha,BR,2022-07-21 18:24:02,-20.3297,-40.2925,76.95,79,40,13.8
220,Dongning,CN,2022-07-21 18:24:02,44.0622,131.1207,66.67,97,62,1.52
221,Tuatapere,NZ,2022-07-21 18:24:03,-46.1333,167.6833,42.53,91,88,1.7
222,Lavrentiya,RU,2022-07-21 18:24:03,65.5833,-171.0,39.2,86,100,22.77
223,Kuandian,CN,2022-07-21 18:24:04,40.7286,124.7847,65.77,97,99,3.62
224,Muli,MV,2022-07-21 18:24:05,2.9167,73.5667,80.74,76,100,9.98
225,Vanderhoof,CA,2022-07-21 18:25:06,54.0166,-124.0198,71.91,35,15,7.56
226,Hofn,IS,2022-07-21 18:25:07,64.2539,-15.2082,51.96,86,81,4.52
227,Okhotsk,RU,2022-07-21 18:25:08,59.3833,143.3,53.94,94,100,2.89
228,Fraga,ES,2022-07-21 18:25:08,41.5229,0.3489,92.23,39,0,16.55
229,Ribeira Grande,PT,2022-07-21 18:21:31,38.5167,-28.7,77.4,78,20,10.36
230,Goderich,CA,2022-07-21 18:25:09,43.7501,-81.7165,77.32,73,8,9.22
231,Norman Wells,CA,2022-07-21 18:25:09,65.282,-126.8329,62.64,82,75,3.44
232,Mandapam,IN,2022-07-21 18:25:10,9.2833,79.1167,81.61,83,51,13.67
233,Horsham,GB,2022-07-21 18:25:10,51.064,-0.3272,73.02,74,75,9.22
234,Wajima,JP,2022-07-21 18:25:11,37.4,136.9,74.52,93,89,10.45
235,Arlit,NE,2022-07-21 18:25:11,18.7369,7.3853,102.27,11,3,1.41
236,Maningrida,AU,2022-07-21 18:25:11,-12.0667,134.2667,57.99,84,70,9.35
237,Khandyga,RU,2022-07-21 18:25:12,62.6667,135.6,64.99,73,29,4.09
238,Cumberland,US,2022-07-21 18:25:13,35.0502,-78.8664,91.49,78,75,17.27
239,Adrar,MR,2022-07-21 18:25:13,20.5022,-10.0711,97.09,29,32,13.31
240,Lantawan,PH,2022-07-21 18:25:14,10.6167,123.9833,78.49,85,100,2.17
241,Tyumentsevo,RU,2022-07-21 18:25:14,53.3224,81.498,62.26,93,100,3.65
242,Linjiang,CN,2022-07-21 18:25:15,41.8069,126.9078,65.01,98,100,1.32
243,Wamba,NG,2022-07-21 18:25:15,8.9333,8.6,72.93,94,81,2.77
244,San Patricio,US,2022-07-21 18:22:51,28.017,-97.5169,97.52,38,6,18.41
245,Mecca,SA,2022-07-21 18:21:31,21.4267,39.8261,90.82,44,12,4.65
246,Porosozero,RU,2022-07-21 18:25:16,62.7191,32.727,71.37,60,60,2.68
247,Lebu,CL,2022-07-21 18:21:32,-37.6167,-73.65,53.53,77,91,7.07
248,Kirakira,SB,2022-07-21 18:25:17,-10.4544,161.9205,78.89,86,59,3.78
249,Shepsi,RU,2022-07-21 18:25:17,44.0361,39.1489,71.55,69,1,0.45
250,Avera,US,2022-07-21 18:25:18,33.194,-82.5271,83.71,57,100,11.74
251,Grand Gaube,MU,2022-07-21 18:24:30,-20.0064,57.6608,70.2,78,62,5.01
252,Black Diamond,US,2022-07-21 18:25:19,47.3087,-122.0032,78.48,62,70,3.0
253,Kiama,AU,2022-07-21 18:25:19,-34.6833,150.8667,60.58,82,94,3.0
254,Garowe,SO,2022-07-21 18:25:20,8.4054,48.4845,83.59,35,91,15.17
255,Kilindoni,TZ,2022-07-21 18:25:20,-7.9139,39.6668,75.92,71,26,15.23
256,Alekseyevsk,RU,2022-07-21 18:25:20,57.8406,108.3492,56.46,85,56,1.59
257,Victor Harbor,AU,2022-07-21 18:25:21,-35.5667,138.6167,52.68,75,96,12.3
258,Barrow,US,2022-07-21 18:19:13,71.2906,-156.7887,44.62,76,0,23.02
259,Valparaiso,CL,2022-07-21 18:25:21,-33.0393,-71.6273,59.23,76,20,5.75
260,Port Blair,IN,2022-07-21 18:21:36,11.6667,92.75,79.75,87,100,6.73
261,San Ignacio,BZ,2022-07-21 18:25:22,17.1561,-89.0714,91.54,58,75,6.91
